File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
K-Oracle/200922-1017-82.lg, Incorrect,5,1,4,0,4,0.29898780333562935,6,30,0,2,2,5,0,0,5,5,0,2,2,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-83.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-84.lg, Incorrect,5,1,4,0,4,0.11423096346786944,15,210,0,2,2,14,0,0,11,11,0,8,8,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-85.lg, Incorrect,5,1,4,0,4,0.10045305148269923,17,272,0,2,2,16,0,0,13,13,0,10,10,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-86.lg, Correct,0,0,0,0,0,0.0,6,30,0,0,0,6,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-87.lg, Correct,0,0,0,0,0,0.0,6,30,0,0,0,6,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-89.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-8.lg, Incorrect,38,4,34,0,34,0.1465493437713884,36,1260,0,17,17,32,0,0,21,21,0,11,11,10,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-90.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-91.lg, Correct,0,0,0,0,0,0.0,6,30,0,0,0,6,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-92.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-93.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-94.lg, Incorrect,7,1,6,0,6,0.3536979525555275,6,30,0,3,3,5,0,0,4,4,0,1,1,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-98.lg, Incorrect,5,1,4,0,4,0.19417187730071425,9,72,0,2,2,8,0,0,7,7,0,4,4,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-9.lg, Incorrect,5,1,4,0,4,0.17387900711859464,10,90,0,2,2,9,0,0,9,9,0,6,6,3,0,0,0,0,0,1,1,0
K-Oracle/200922-947-103.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
